config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(4+1)(4+1) 400 15 12 0.0072 2.143 0.051 72 10000.0 notadapt
(4+1)(4+1) 400 16 12 0.0136 1.866 0.037 136 10000.0 notadapt
(4+1)(4+1) 400 17 12 0.0251 1.6 0.027 251 10000.0 notadapt
(4+1)(4+1) 400 18 12 0.0395 1.403 0.022 395 10000.0 notadapt
(4+1)(4+1) 400 19 12 0.0576 1.24 0.018 576 10000.0 notadapt
(4+1)(4+1) 400 20 12 0.0847 1.072 0.015 847 10000.0 notadapt
(4+1)(4+1) 400 13 13 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 14 13 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 15 13 0.0019 2.721 0.1 19 10000.0 notadapt
(4+1)(4+1) 400 16 13 0.0056 2.252 0.058 56 10000.0 notadapt
(4+1)(4+1) 400 17 13 0.014 1.854 0.037 140 10000.0 notadapt
(4+1)(4+1) 400 18 13 0.0255 1.593 0.027 255 10000.0 notadapt
(4+1)(4+1) 400 19 13 0.0391 1.408 0.022 391 10000.0 notadapt
(4+1)(4+1) 400 20 13 0.0534 1.272 0.019 534 10000.0 notadapt
(4+1)(4+1) 400 14 14 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 15 14 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 16 14 0.0016 2.796 0.109 16 10000.0 notadapt
(4+1)(4+1) 400 17 14 0.0079 2.102 0.049 79 10000.0 notadapt
(4+1)(4+1) 400 18 14 0.014 1.854 0.037 140 10000.0 notadapt
(4+1)(4+1) 400 19 14 0.0215 1.668 0.03 215 10000.0 notadapt
(4+1)(4+1) 400 20 14 0.0385 1.415 0.022 385 10000.0 notadapt
(4+1)(4+1) 400 15 15 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 16 15 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 17 15 0.0019 2.721 0.1 19 10000.0 notadapt
(4+1)(4+1) 400 18 15 0.0073 2.137 0.051 73 10000.0 notadapt
(4+1)(4+1) 400 19 15 0.015 1.824 0.035 150 10000.0 notadapt
(4+1)(4+1) 400 20 15 0.0225 1.648 0.029 225 10000.0 notadapt
(4+1)(4+1) 400 16 16 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 17 16 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 18 16 0.002 2.699 0.097 20 10000.0 notadapt
(4+1)(4+1) 400 19 16 0.007 2.155 0.052 70 10000.0 notadapt
(4+1)(4+1) 400 20 16 0.0146 1.836 0.036 146 10000.0 notadapt
(4+1)(4+1) 400 17 17 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 18 17 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 19 17 0.0026 2.585 0.085 26 10000.0 notadapt
(4+1)(4+1) 400 20 17 0.0077 2.114 0.049 77 10000.0 notadapt
(4+1)(4+1) 400 18 18 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 19 18 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 20 18 0.0015 2.824 0.112 15 10000.0 notadapt
(4+1)(4+1) 400 19 19 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 20 19 0.0 0 0 0 10000.0 notadapt
(4+1)(4+1) 400 20 20 0.0 0 0 0 10000.0 notadapt
