model,failure_time,failure,app,r_5,n_5,r_183,n_183,r_184,n_184,r_187,n_187,r_195,n_195,r_197,n_197,r_199,n_199,r_program,n_program,r_erase,n_erase,n_blocks,n_wearout,r_241,n_241,r_242,n_242,r_9,n_9,r_12,n_12,r_174,n_174,n_175,disk_id,node_id,rack_id,machine_room_id,diff,burst_glob_id
C1,2018-11-22 10:09:11,1,DAE,73.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,,,,,7922.0,100.0,14.0,100.0,7.0,100.0,,116191,138373,28419,475,-1.0,9752
C1,2018-11-22 10:09:23,1,DAE,97.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,,,,,7922.0,100.0,14.0,100.0,7.0,100.0,,116190,138373,28419,475,12.0,9752
C1,2018-11-22 10:19:27,1,DAE,54.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,,,,,7922.0,100.0,14.0,100.0,7.0,100.0,,116189,138373,28419,475,604.0,9752
C1,2018-11-22 10:22:29,1,DAE,14.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,,,,,7922.0,100.0,14.0,100.0,7.0,100.0,,116187,138373,28419,475,182.0,9752
A3,2018-08-11 03:14:31,1,none,0.0,98.0,,,0.0,100.0,0.0,100.0,1988462669.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,130.0,1.0,,,,,37145.0,100.0,37.0,100.0,35.0,100.0,100.0,25047,138394,13851,542,-1.0,9753
A3,2018-08-11 03:14:34,1,none,0.0,97.0,,,0.0,100.0,0.0,100.0,1875173628.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,130.0,1.0,,,,,37147.0,100.0,37.0,100.0,35.0,100.0,100.0,25037,138394,13851,542,3.0,9753
A3,2018-08-11 03:14:38,1,none,2.0,98.0,,,0.0,100.0,0.0,100.0,1206004549.0,100.0,0.0,100.0,0.0,100.0,8.0,100.0,0.0,100.0,130.0,1.0,,,,,37147.0,100.0,37.0,100.0,35.0,100.0,100.0,25039,138394,13851,542,4.0,9753
A3,2018-08-11 03:14:40,1,none,2.0,98.0,,,0.0,100.0,0.0,100.0,1337931882.0,100.0,0.0,100.0,0.0,100.0,4.0,100.0,0.0,100.0,130.0,1.0,,,,,37146.0,100.0,37.0,100.0,35.0,100.0,100.0,25044,138394,13851,542,2.0,9753
A1,2019-10-17 14:59:36,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,91.0,4484901.0,100.0,3140157.0,100.0,32430.0,100.0,21.0,100.0,19.0,100.0,100.0,164051,138504,7661,619,-1.0,9765
A1,2019-10-17 14:59:36,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,90.0,4913928.0,100.0,3381876.0,100.0,32432.0,100.0,21.0,100.0,19.0,100.0,100.0,164053,138504,7661,619,0.0,9765
A1,2019-10-17 14:59:36,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,92.0,1959230.0,100.0,345764.0,100.0,32414.0,100.0,21.0,100.0,19.0,100.0,100.0,164052,138504,7661,619,0.0,9765
B3,2019-03-25 09:05:13,1,none,2.0,99.0,2.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,99.0,14402542944.0,99.0,9489919646.0,99.0,16274.0,96.0,18.0,99.0,,,,25764,138966,17048,550,-1.0,9801
B3,2019-03-25 09:05:15,1,none,2.0,99.0,2.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,99.0,14095110640.0,99.0,8418483710.0,99.0,16274.0,96.0,18.0,99.0,,,,25763,138966,17048,550,2.0,9801
A1,2019-12-16 17:46:44,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,83.0,5228330.0,100.0,5558052.0,100.0,37533.0,100.0,17.0,100.0,15.0,100.0,100.0,165366,139598,5532,504,-1.0,9831
A1,2019-12-16 17:46:48,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,83.0,5497587.0,100.0,6050076.0,100.0,37535.0,100.0,16.0,100.0,14.0,100.0,100.0,165371,139598,5532,504,4.0,9831
A1,2019-12-16 17:46:51,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,82.0,5828372.0,100.0,5909316.0,100.0,37534.0,100.0,16.0,100.0,14.0,100.0,100.0,165374,139598,5532,504,3.0,9831
A1,2019-12-16 17:46:51,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,83.0,5218821.0,100.0,5598770.0,100.0,37534.0,100.0,16.0,100.0,14.0,100.0,100.0,165363,139598,5532,504,0.0,9831
A1,2019-12-16 17:46:54,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,82.0,5611072.0,100.0,6018426.0,100.0,37534.0,100.0,16.0,100.0,14.0,100.0,100.0,165369,139598,5532,504,3.0,9831
