config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(32+6)(16+1) 32000 1000000 23 4 0E-49
(32+6)(16+1) 32000 1000000 23 5 0E-49
(32+6)(16+1) 32000 1000000 23 6 0E-49
(32+6)(16+1) 32000 1000000 23 7 0E-49
(32+6)(16+1) 32000 1000000 23 8 8.34746803153778254217159613763058866275E-12
(32+6)(16+1) 32000 1000000 23 9 3.193774447975803780856702152596032193978E-11
(32+6)(16+1) 32000 1000000 23 10 7.472297900658332265725215464436756702375E-11
(32+6)(16+1) 32000 1000000 23 11 1.3840197483806638448275417247259908067127E-10
(32+6)(16+1) 32000 1000000 23 12 2.2325321517371162605797107392722080450475E-10
(32+6)(16+1) 32000 1000000 23 13 3.2873610584671678805624839296211738034387E-10
(32+6)(16+1) 32000 1000000 23 14 4.5387272497475749233683544702259952914907E-10
(32+6)(16+1) 32000 1000000 23 15 5.9747825809102557131293430615497047732736E-10
(32+6)(16+1) 32000 1000000 23 16 7.5829615521989605813469378081118446713218E-10
(32+6)(16+1) 32000 1000000 23 17 9.3507526378943325848106254757212504174419E-10
(32+6)(16+1) 32000 1000000 23 18 1.12661211428708666541490101757923295156898E-9
(32+6)(16+1) 32000 1000000 23 19 1.33177244655577329717083069010900335618311E-9
(32+6)(16+1) 32000 1000000 23 20 1.54950048031276062283847750050487490806344E-9
(32+6)(16+1) 32000 1000000 23 21 1.77882105843384146891249699924235386063029E-9
(32+6)(16+1) 32000 1000000 23 22 2.01883775779115161320052877103882691421855E-9
(32+6)(16+1) 32000 1000000 23 23 2.26872883361833272063633509591896539021426E-9
(32+6)(16+1) 32000 1000000 24 1 0E-49
(32+6)(16+1) 32000 1000000 24 2 0E-49
(32+6)(16+1) 32000 1000000 24 3 0E-49
(32+6)(16+1) 32000 1000000 24 4 0E-49
(32+6)(16+1) 32000 1000000 24 5 0E-49
(32+6)(16+1) 32000 1000000 24 6 0E-49
(32+6)(16+1) 32000 1000000 24 7 0E-49
(32+6)(16+1) 32000 1000000 24 8 1.185635095400905305709055903385446911066E-11
(32+6)(16+1) 32000 1000000 24 9 4.504747752697075800818001719282030414347E-11
(32+6)(16+1) 32000 1000000 24 10 1.0476200817470249623170621154639157115977E-10
(32+6)(16+1) 32000 1000000 24 11 1.9302219547077170140326315691907618163117E-10
(32+6)(16+1) 32000 1000000 24 12 3.0991819566147136566503606648908722332969E-10
(32+6)(16+1) 32000 1000000 24 13 4.5446644432827866814840837303210696483806E-10
(32+6)(16+1) 32000 1000000 24 14 6.2513917560362203020380596895282968195185E-10
(32+6)(16+1) 32000 1000000 24 15 8.2017529972216666731219509258970587178425E-10
(32+6)(16+1) 32000 1000000 24 16 1.03775726435809874595480219332172028937348E-9
(32+6)(16+1) 32000 1000000 24 17 1.27610824030969279220619082012791855813581E-9
(32+6)(16+1) 32000 1000000 24 18 1.53354258749572294947705163660977059266737E-9
(32+6)(16+1) 32000 1000000 24 19 1.80848919826248534139773522215688261768311E-9
(32+6)(16+1) 32000 1000000 24 20 2.09949930427705530153506380876331956468836E-9
(32+6)(16+1) 32000 1000000 24 21 2.40524559012849618262725932834327575144233E-9
(32+6)(16+1) 32000 1000000 24 22 2.72451665184652392098289799408445975359420E-9
(32+6)(16+1) 32000 1000000 24 23 3.05620917443945372445211229857635817525433E-9
(32+6)(16+1) 32000 1000000 24 24 3.39931921096172881854543809996439021882353E-9
(32+6)(16+1) 32000 1000000 25 1 0E-49
(32+6)(16+1) 32000 1000000 25 2 0E-49
(32+6)(16+1) 32000 1000000 25 3 0E-49
(32+6)(16+1) 32000 1000000 25 4 0E-49
(32+6)(16+1) 32000 1000000 25 5 0E-49
(32+6)(16+1) 32000 1000000 25 6 0E-49
(32+6)(16+1) 32000 1000000 25 7 0E-49
(32+6)(16+1) 32000 1000000 25 8 1.663801330174492532993504687614126508766E-11
(32+6)(16+1) 32000 1000000 25 9 6.280425513739507517337502799225781245641E-11
(32+6)(16+1) 32000 1000000 25 10 1.4523288325146128794840542725291706682322E-10
(32+6)(16+1) 32000 1000000 25 11 2.6626575176983061097117428062033058359837E-10
(32+6)(16+1) 32000 1000000 25 12 4.2564825049130851528163819536150837718874E-10
(32+6)(16+1) 32000 1000000 25 13 6.2173684047038255189550684091547879999206E-10
(32+6)(16+1) 32000 1000000 25 14 8.5222373060750593136600237696689914688253E-10
(32+6)(16+1) 32000 1000000 25 15 1.11455073903796570094944215080466826181775E-9
(32+6)(16+1) 32000 1000000 25 16 1.40613739060434336625476953975957816092697E-9
(32+6)(16+1) 32000 1000000 25 17 1.72450112866172415812795396633407981798873E-9
(32+6)(16+1) 32000 1000000 25 18 2.06731577115250941888742887490765566479130E-9
(32+6)(16+1) 32000 1000000 25 19 2.43243507125705648619678358951176004677744E-9
(32+6)(16+1) 32000 1000000 25 20 2.81789694177160296435272597454828415768858E-9
(32+6)(16+1) 32000 1000000 25 21 3.22191733943735817112721331944094805951933E-9
(32+6)(16+1) 32000 1000000 25 22 3.64287899462658003412999479699033198232729E-9
