config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 6 4 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 7 4 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 8 4 0.0002 nines sigma 2 10000 notadapt
(1+0)(8+2) 32000 9 4 0.0002 nines sigma 2 10000 notadapt
(1+0)(8+2) 32000 10 4 0.0005 nines sigma 5 10000 notadapt
(1+0)(8+2) 32000 11 4 0.0017 nines sigma 17 10000 notadapt
(1+0)(8+2) 32000 12 4 0.0016 nines sigma 16 10000 notadapt
(1+0)(8+2) 32000 13 4 0.0023 nines sigma 23 10000 notadapt
(1+0)(8+2) 32000 14 4 0.0022 nines sigma 22 10000 notadapt
(1+0)(8+2) 32000 15 4 0.002 nines sigma 20 10000 notadapt
(1+0)(8+2) 32000 16 4 0.0042 nines sigma 42 10000 notadapt
(1+0)(8+2) 32000 17 4 0.0043 nines sigma 43 10000 notadapt
(1+0)(8+2) 32000 18 4 0.0054 nines sigma 54 10000 notadapt
(1+0)(8+2) 32000 19 4 0.0068 nines sigma 68 10000 notadapt
(1+0)(8+2) 32000 5 5 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 6 5 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 7 5 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 8 5 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 9 5 0.0002 nines sigma 2 10000 notadapt
(1+0)(8+2) 32000 10 5 0.0004 nines sigma 4 10000 notadapt
(1+0)(8+2) 32000 11 5 0.0007 nines sigma 7 10000 notadapt
(1+0)(8+2) 32000 12 5 0.001 nines sigma 10 10000 notadapt
(1+0)(8+2) 32000 13 5 0.0016 nines sigma 16 10000 notadapt
(1+0)(8+2) 32000 14 5 0.0011 nines sigma 11 10000 notadapt
(1+0)(8+2) 32000 15 5 0.0018 nines sigma 18 10000 notadapt
(1+0)(8+2) 32000 16 5 0.0025 nines sigma 25 10000 notadapt
(1+0)(8+2) 32000 17 5 0.0026 nines sigma 26 10000 notadapt
(1+0)(8+2) 32000 18 5 0.0035 nines sigma 35 10000 notadapt
(1+0)(8+2) 32000 19 5 0.0038 nines sigma 38 10000 notadapt
(1+0)(8+2) 32000 6 6 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 7 6 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 8 6 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 9 6 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 10 6 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 11 6 0.0004 nines sigma 4 10000 notadapt
(1+0)(8+2) 32000 12 6 0.0004 nines sigma 4 10000 notadapt
(1+0)(8+2) 32000 13 6 0.0005 nines sigma 5 10000 notadapt
(1+0)(8+2) 32000 14 6 0.0002 nines sigma 2 10000 notadapt
(1+0)(8+2) 32000 15 6 0.0004 nines sigma 4 10000 notadapt
(1+0)(8+2) 32000 16 6 0.0018 nines sigma 18 10000 notadapt
(1+0)(8+2) 32000 17 6 0.0016 nines sigma 16 10000 notadapt
(1+0)(8+2) 32000 18 6 0.0019 nines sigma 19 10000 notadapt
(1+0)(8+2) 32000 19 6 0.0038 nines sigma 38 10000 notadapt
(1+0)(8+2) 32000 7 7 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 8 7 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 9 7 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 10 7 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 11 7 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 12 7 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 13 7 0.0005 nines sigma 5 10000 notadapt
(1+0)(8+2) 32000 14 7 0.0005 nines sigma 5 10000 notadapt
(1+0)(8+2) 32000 15 7 0.0006 nines sigma 6 10000 notadapt
(1+0)(8+2) 32000 16 7 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 17 7 0.0019 nines sigma 19 10000 notadapt
(1+0)(8+2) 32000 18 7 0.0011 nines sigma 11 10000 notadapt
(1+0)(8+2) 32000 19 7 0.0016 nines sigma 16 10000 notadapt
(1+0)(8+2) 32000 8 8 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 9 8 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 10 8 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 11 8 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 12 8 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 13 8 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 14 8 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 15 8 0.0002 nines sigma 2 10000 notadapt
(1+0)(8+2) 32000 16 8 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 17 8 0.0006 nines sigma 6 10000 notadapt
(1+0)(8+2) 32000 18 8 0.0016 nines sigma 16 10000 notadapt
(1+0)(8+2) 32000 19 8 0.0013 nines sigma 13 10000 notadapt
(1+0)(8+2) 32000 9 9 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 10 9 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 11 9 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 12 9 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 13 9 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 14 9 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 15 9 0.0005 nines sigma 5 10000 notadapt
(1+0)(8+2) 32000 16 9 0.0005 nines sigma 5 10000 notadapt
(1+0)(8+2) 32000 17 9 0.0009 nines sigma 9 10000 notadapt
(1+0)(8+2) 32000 18 9 0.0008 nines sigma 8 10000 notadapt
(1+0)(8+2) 32000 19 9 0.001 nines sigma 10 10000 notadapt
(1+0)(8+2) 32000 10 10 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 11 10 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 12 10 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 13 10 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 14 10 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 15 10 0.0 nines sigma 0 10000 notadapt
